iter	Passed	Remaining
0	53	53807
1	55	27573
2	56	18787
3	57	14365
4	59	11742
5	60	10011
6	61	8734
7	62	7780
8	63	7028
9	64	6425
10	65	5931
11	67	5528
12	67	5160
13	68	4846
14	69	4576
15	70	4331
16	71	4117
17	71	3927
18	72	3759
19	73	3611
20	74	3476
21	75	3345
22	75	3224
23	76	3115
24	77	3014
25	77	2920
26	78	2833
27	79	2751
28	79	2677
29	80	2605
30	81	2540
31	82	2480
32	82	2423
33	83	2373
34	84	2322
35	84	2272
36	85	2224
37	86	2178
38	86	2135
39	87	2094
40	87	2057
41	88	2019
42	89	1984
43	89	1952
44	90	1919
45	91	1889
46	91	1858
47	92	1830
48	92	1802
49	93	1774
50	94	1750
51	94	1723
52	95	1700
53	95	1676
54	96	1653
55	96	1632
56	97	1612
57	98	1592
58	98	1575
59	99	1556
60	99	1537
61	100	1519
62	100	1501
63	101	1484
64	102	1469
65	102	1453
66	103	1437
67	103	1421
68	104	1406
69	104	1393
70	105	1379
71	106	1366
72	106	1353
73	107	1341
74	107	1328
75	108	1316
76	108	1303
77	109	1292
78	109	1280
79	110	1269
80	110	1258
81	111	1248
82	112	1238
83	112	1230
84	113	1221
85	113	1211
86	114	1202
87	115	1193
88	115	1184
89	116	1175
90	116	1166
91	117	1157
92	117	1149
93	118	1141
94	118	1132
95	119	1125
96	120	1118
97	120	1111
98	121	1103
99	121	1096
100	122	1088
101	123	1082
102	123	1075
103	124	1069
104	124	1063
105	125	1056
106	125	1049
107	126	1042
108	126	1036
109	127	1031
110	128	1025
111	128	1020
112	129	1014
113	129	1008
114	130	1003
115	130	997
116	131	992
117	132	986
118	132	981
119	133	975
120	133	970
121	134	965
122	134	960
123	135	956
124	135	951
125	136	946
126	136	941
127	137	936
128	138	932
129	138	927
130	139	923
131	139	918
132	140	913
133	140	909
134	141	905
135	141	901
136	142	897
137	143	893
138	143	890
139	144	886
140	144	882
141	145	878
142	145	874
143	146	870
144	147	867
145	147	863
146	148	860
147	148	856
148	149	853
149	150	850
150	150	847
151	151	843
152	152	841
153	152	838
154	153	834
155	153	831
156	154	827
157	154	824
158	155	821
159	155	818
160	156	815
161	157	812
162	157	809
163	158	806
164	158	803
165	159	800
166	159	797
167	160	794
168	161	791
169	161	788
170	162	785
171	162	782
172	163	780
173	163	777
174	164	774
175	164	772
176	165	769
177	166	767
178	166	764
179	167	762
180	167	759
181	168	757
182	169	754
183	169	752
184	170	749
185	170	747
186	171	744
187	171	742
188	172	740
189	173	738
190	173	736
191	174	733
192	174	731
193	175	729
194	176	727
195	176	724
196	177	722
197	177	720
198	178	718
199	178	715
200	179	714
201	180	711
202	180	709
203	181	707
204	181	705
205	182	703
206	182	700
207	183	699
208	184	697
209	185	696
210	185	694
211	186	692
212	186	690
213	187	689
214	188	687
215	188	685
216	189	683
217	190	681
218	190	679
219	191	677
220	191	675
221	192	673
222	192	671
223	193	669
224	193	667
225	194	665
226	195	664
227	195	662
228	196	660
229	196	658
230	197	656
231	197	655
232	198	653
233	198	651
234	199	649
235	200	647
236	200	645
237	201	644
238	201	642
239	202	640
240	203	639
241	203	637
242	204	636
243	204	634
244	205	632
245	205	630
246	206	629
247	206	627
248	207	625
249	207	623
250	208	621
251	209	620
252	209	618
253	210	617
254	210	615
255	211	614
256	211	612
257	212	611
258	213	609
259	213	608
260	214	606
261	214	604
262	215	603
263	215	602
264	216	600
265	217	599
266	217	597
267	218	596
268	218	594
269	219	593
270	220	591
271	220	590
272	221	588
273	221	587
274	222	585
275	222	584
276	223	583
277	223	581
278	224	580
279	225	579
280	225	577
281	226	576
282	226	574
283	227	573
284	228	572
285	228	570
286	229	569
287	229	567
288	230	566
289	230	564
290	231	563
291	231	562
292	232	560
293	233	559
294	233	558
295	234	557
296	234	555
297	235	554
298	235	552
299	236	551
300	237	550
301	237	549
302	238	547
303	238	546
304	239	545
305	239	544
306	240	542
307	241	541
308	241	540
309	242	539
310	242	537
311	243	536
312	243	535
313	244	533
314	244	532
315	245	531
316	246	530
317	246	528
318	247	527
319	247	526
320	248	525
321	248	524
322	249	522
323	250	521
324	250	520
325	251	519
326	251	518
327	252	517
328	252	515
329	253	514
330	254	513
331	254	512
332	255	511
333	255	510
334	256	509
335	257	507
336	257	506
337	258	505
338	258	504
339	259	503
340	259	502
341	260	501
342	261	499
343	261	498
344	262	497
345	262	496
346	263	495
347	264	494
348	264	493
349	265	492
350	265	491
351	266	490
352	266	489
353	267	487
354	267	486
355	268	485
356	269	484
357	269	483
358	270	482
359	270	481
360	271	480
361	272	479
362	272	478
363	273	477
364	273	476
365	274	475
366	274	474
367	275	473
368	276	472
369	276	471
370	277	470
371	278	469
372	278	468
373	279	467
374	279	466
375	280	465
376	280	464
377	281	463
378	282	462
379	282	461
380	283	460
381	283	459
382	284	458
383	284	457
384	285	456
385	286	455
386	286	454
387	287	453
388	287	452
389	288	451
390	289	450
391	289	449
392	290	448
393	290	447
394	291	446
395	291	444
396	292	444
397	293	443
398	293	442
399	294	441
400	294	440
401	295	439
402	296	438
403	296	437
404	297	436
405	297	435
406	298	434
407	298	433
408	299	432
409	299	431
410	300	430
411	301	429
412	301	428
413	302	427
414	302	426
415	303	425
416	303	424
417	304	423
418	304	422
419	305	421
420	305	420
421	306	419
422	306	418
423	307	417
424	308	416
425	308	416
426	309	415
427	309	414
428	310	413
429	311	412
430	311	411
431	312	410
432	312	409
433	313	408
434	314	407
435	314	406
436	315	406
437	315	405
438	316	404
439	316	403
440	317	402
441	318	401
442	318	400
443	319	399
444	319	398
445	320	397
446	320	396
447	321	395
448	321	394
449	322	393
450	322	392
451	323	392
452	324	391
453	324	390
454	325	389
455	325	388
456	326	387
457	327	386
458	327	386
459	328	385
460	328	384
461	329	383
462	329	382
463	330	381
464	330	380
465	331	379
466	332	379
467	332	378
468	333	377
469	333	376
470	334	375
471	334	374
472	335	373
473	336	373
474	336	372
475	337	371
476	338	370
477	338	369
478	339	369
479	340	368
480	340	367
481	341	366
482	341	365
483	342	365
484	343	364
485	343	363
486	344	362
487	344	361
488	345	361
489	346	360
490	346	359
491	347	358
492	347	357
493	348	356
494	348	355
495	349	355
496	350	354
497	350	353
498	351	352
499	351	351
500	352	351
501	353	350
502	353	349
503	354	348
504	354	347
505	355	346
506	355	346
507	356	345
508	357	344
509	357	343
510	358	342
511	358	341
512	359	340
513	359	340
514	360	339
515	361	338
516	361	337
517	362	337
518	362	336
519	363	335
520	364	334
521	365	334
522	365	333
523	366	332
524	367	332
525	367	331
526	368	330
527	369	329
528	369	329
529	370	328
530	370	327
531	371	326
532	372	326
533	372	325
534	373	324
535	373	323
536	374	322
537	375	322
538	375	321
539	376	320
540	377	319
541	377	319
542	378	318
543	378	317
544	379	316
545	380	316
546	380	315
547	381	314
548	381	313
549	382	313
550	383	312
551	383	311
552	384	310
553	385	309
554	385	309
555	386	308
556	386	307
557	387	306
558	388	306
559	388	305
560	389	304
561	389	303
562	390	303
563	391	302
564	391	301
565	392	300
566	392	300
567	393	299
568	394	298
569	394	297
570	395	296
571	395	296
572	396	295
573	396	294
574	397	293
575	398	293
576	399	292
577	399	291
578	400	291
579	400	290
580	401	289
581	402	288
582	402	288
583	403	287
584	403	286
585	404	285
586	405	285
587	405	284
588	406	283
589	407	282
590	407	282
591	408	281
592	409	280
593	409	280
594	410	279
595	411	278
596	411	277
597	412	277
598	412	276
599	413	275
600	414	274
601	414	274
602	415	273
603	416	272
604	416	272
605	417	271
606	417	270
607	418	269
608	419	269
609	419	268
610	420	267
611	420	266
612	421	266
613	422	265
614	422	264
615	423	263
616	424	263
617	424	262
618	425	261
619	425	261
620	426	260
621	427	259
622	428	259
623	429	258
624	430	258
625	431	257
626	431	256
627	432	256
628	433	255
629	434	255
630	434	254
631	435	253
632	436	253
633	437	252
634	438	251
635	438	251
636	439	250
637	440	249
638	441	249
639	441	248
640	442	247
641	443	247
642	444	246
643	444	245
644	445	245
645	446	244
646	447	244
647	448	243
648	448	242
649	449	242
650	450	241
651	451	240
652	452	240
653	452	239
654	453	238
655	454	238
656	455	237
657	455	236
658	456	236
659	457	235
660	458	235
661	459	234
662	460	234
663	461	233
664	461	232
665	462	232
666	463	231
667	464	230
668	465	230
669	466	229
670	467	229
671	468	228
672	469	227
673	469	227
674	470	226
675	471	225
676	472	225
677	473	224
678	474	224
679	475	223
680	476	223
681	477	222
682	478	221
683	478	221
684	479	220
685	480	220
686	481	219
687	482	218
688	483	218
689	484	217
690	485	217
691	486	216
692	486	215
693	488	215
694	488	214
695	489	213
696	490	213
697	491	212
698	492	211
699	493	211
700	494	210
701	494	210
702	495	209
703	496	208
704	498	208
705	498	207
706	499	207
707	500	206
708	501	205
709	502	205
710	503	204
711	504	203
712	505	203
713	505	202
714	506	202
715	507	201
716	508	200
717	509	200
718	510	199
719	511	198
720	512	198
721	512	197
722	513	196
723	514	196
724	514	195
725	515	194
726	516	193
727	517	193
728	517	192
729	518	191
730	519	191
731	519	190
732	520	189
733	521	188
734	521	188
735	522	187
736	523	186
737	524	186
738	524	185
739	525	184
740	526	183
741	527	183
742	527	182
743	528	181
744	529	181
745	529	180
746	530	179
747	531	178
748	531	178
749	532	177
750	533	176
751	534	176
752	534	175
753	535	174
754	536	173
755	537	173
756	537	172
757	538	171
758	539	171
759	539	170
760	540	169
761	541	169
762	541	168
763	542	167
764	543	166
765	545	166
766	546	165
767	547	165
768	548	164
769	550	164
770	551	163
771	552	163
772	553	162
